model,RMSE,MAE,MAP@10,Precision@10,Recall@10,NDCG@10,HitRate@10,Coverage,n_eval_users,eval_seconds
Popularity (reference),1.003081202507019,0.8042374849319458,0.09825814203829657,0.13774000000000325,0.16301065991992256,0.18637285395003822,0.649,0.029,5000,0.5
Baseline (bias),0.9201624055223974,0.7236530198197624,0.006076220206601174,0.021459999999999778,0.02508216923064239,0.021016409963474873,0.1862,0.0115,5000,0.5
SVD (matrix factorisation),0.8933922052383423,0.6956180930137634,0.005151397990677763,0.012300000000000106,0.013183006082255715,0.014347463502194803,0.1074,0.357,5000,0.6
Item-based CF,0.8898910284042358,0.681429386138916,0.10598196652179377,0.13918000000000297,0.147884840701498,0.18986393811861144,0.6028,0.8105,5000,8.9
Hybrid (SVD (matrix factorisation) + popularity),0.8933922052383423,0.6956180930137634,0.1047421517699669,0.14368000000000358,0.16693583674069717,0.19600651067294134,0.6694,0.0985,5000,0.7
